content_id,titulo,tipo,genero,año,duracion_min,rating_promedio,temporadas,pais_origen,idioma,clasificacion,fecha_agregado
CNT00032,Dark Secrets 32,Serie,Action,2019,33,4.78,3,Colombia,Frances,NC-17,2021-03-07
CNT00033,Legal Eagles 33,Serie,Sci-Fi,2023,45,3.5,1,USA,Aleman,PG-13,2020-03-31
CNT00034,City of Dreams 34,Pelicula,Fantasy,2019,110,4.48,0,UK,Aleman,NC-17,2020-01-20
CNT00035,Echoes of Tomorrow 35,Pelicula,Mystery,2017,159,3.07,0,Peru,Japones,NC-17,2020-10-30
CNT00036,The Office Club,Serie,Documentary,2015,58,3.72,4,France,Español,PG-13,2024-05-16
CNT00037,The Office Club 37,Serie,Horror,2017,55,4.62,7,Mexico,Ingles,PG-13,2024-05-21
CNT00038,Tech World,Serie,Mystery,2016,42,4.74,8,Argentina,Ingles,R,2021-12-17
CNT00039,Tech World,Serie,Fantasy,2018,42,3.66,2,Japan,Frances,PG-13,2023-08-06
CNT00040,Documentary Series 40,Serie,Drama,2016,58,4.94,3,Germany,Frances,G,2020-08-10
CNT00041,Sci-Fi Adventures 41,Serie,Documentary,2021,49,4.97,2,Chile,Japones,PG,2021-06-05
CNT00042,Broken Promises 42,Pelicula,Animation,2023,177,4.44,0,Italy,Ingles,PG-13,2022-06-02
CNT00043,Dark Waters 43,Pelicula,Crime,2020,174,4.7,0,Italy,Frances,NC-17,2021-09-25
CNT00044,Historical Tales 44,Serie,Sci-Fi,2023,34,3.38,7,France,Ingles,NC-17,2023-03-11
CNT00045,Comedy Hour 45,Serie,Drama,2019,39,3.42,6,Brazil,Aleman,R,2023-10-15
CNT00046,Northern Lights 46,Pelicula,Mystery,2017,174,3.17,0,UK,Japones,PG-13,2020-07-10
CNT00047,Dark Waters 47,Pelicula,Horror,2017,93,3.09,0,Brazil,Japones,G,2022-07-21
CNT00048,Legal Eagles 48,Serie,Thriller,2022,42,3.49,1,Japan,Español,R,2021-03-24
CNT00049,Night Watch 49,Pelicula,Animation,2022,96,4.11,0,Korea,Español,R,2020-09-30
CNT00050,Romance Stories 50,Serie,Crime,2020,60,4.51,8,Germany,Japones,R,2024-08-28
CNT00051,Medical Center 51,Serie,Romance,2022,38,4.5,5,Japan,Japones,R,2023-07-07
CNT00052,The Final Chapter 52,Pelicula,Mystery,2019,120,3.54,0,Peru,Japones,G,2020-10-10
CNT00053,Lost in Time 53,Pelicula,Action,2018,98,3.83,0,Peru,Japones,R,2022-05-01
CNT00054,Midnight Sun 54,Pelicula,Thriller,2024,179,3.04,0,Japan,Japones,R,2022-09-03
CNT00055,The Forgotten,Pelicula,Thriller,2021,158,4.5,0,UK,Japones,PG,2022-09-26
CNT00056,The Final Chapter 56,Pelicula,Drama,2021,133,4.34,0,Japan,Aleman,PG,2024-09-17
CNT00057,The Office Club 57,Serie,Animation,2015,59,3.79,1,USA,Aleman,PG,2024-11-10
CNT00058,Medical Center,Serie,Thriller,2020,36,3.91,6,Japan,Aleman,PG-13,2024-03-20
CNT00059,Family Matters 59,Serie,Romance,2015,53,4.08,6,Argentina,Español,G,2024-03-24
CNT00060,Lost in Time,Pelicula,Drama,2024,109,3.48,0,Brazil,Español,NC-17,2021-03-22
CNT00061,Family Matters 61,Serie,Action,2024,49,4.93,2,Japan,Ingles,PG-13,2020-08-09
CNT00062,Beyond the Horizon 62,Pelicula,Thriller,2021,115,3.15,0,Italy,Ingles,G,2023-11-28
CNT00063,Dark Secrets 63,Serie,Crime,2015,41,4.07,6,USA,Japones,PG-13,2020-01-26
CNT00064,Mystery Files,Serie,Documentary,2022,52,3.31,3,Italy,Japones,PG-13,2023-06-15
CNT00065,Action Heroes 65,Serie,Mystery,2024,38,3.64,4,Korea,Español,PG-13,2024-12-10
CNT00066,Tech World 66,Serie,Crime,2024,51,3.76,1,Brazil,Frances,PG,2022-09-25
CNT00067,The Forgotten 67,Pelicula,Documentary,2019,166,4.4,0,Colombia,Japones,G,2022-11-24
CNT00068,Echoes of Tomorrow,Pelicula,Thriller,2022,161,4.52,0,Italy,Aleman,R,2022-07-06
CNT00069,Echoes of Tomorrow,Pelicula,Thriller,2018,129,4.33,0,Peru,Aleman,NC-17,2022-12-23
CNT00070,Drama Queens 70,Serie,Animation,2020,41,4.41,5,Colombia,Frances,PG,2020-09-04
CNT00071,City of Dreams,Pelicula,Animation,2017,114,3.43,0,Brazil,Frances,NC-17,2024-04-05
CNT00072,Dark Secrets 72,Serie,Sci-Fi,2018,41,3.36,1,Italy,Japones,PG,2021-07-15
CNT00073,Dark Paradise 73,Pelicula,Mystery,2017,171,4.74,0,Brazil,Español,G,2023-03-21
CNT00074,Mystery Files 74,Serie,Documentary,2017,60,3.1,8,USA,Español,R,2022-10-04
CNT00075,Rising Storm 75,Pelicula,Drama,2017,109,4.62,0,Colombia,Español,PG,2020-08-30
CNT00076,Tech World 76,Serie,Thriller,2022,59,3.89,7,Colombia,Japones,NC-17,2020-05-03
CNT00077,Secret Garden,Pelicula,Horror,2019,174,3.16,0,Argentina,Ingles,NC-17,2020-06-02
CNT00078,The Last Kingdom 78,Pelicula,Mystery,2024,150,3.58,0,Argentina,Frances,PG-13,2023-12-10
CNT00079,Modern Life 79,Serie,Sci-Fi,2024,51,4.61,4,Chile,Español,NC-17,2021-04-05
CNT00080,The Final Chapter 80,Pelicula,Comedy,2015,111,4.59,0,Germany,Japones,PG-13,2022-06-18
CNT00081,The Return 81,Pelicula,Mystery,2021,124,4.0,0,Brazil,Aleman,G,2023-05-09
CNT00082,Wild Hearts 82,Pelicula,Crime,2019,93,3.18,0,France,Japones,NC-17,2020-02-12
CNT00083,The Dynasty 83,Serie,Action,2022,46,4.3,5,Spain,Japones,R,2023-07-24
CNT00084,Modern Life 84,Serie,Thriller,2020,40,4.34,3,Peru,Aleman,R,2021-08-13
CNT00085,Documentary Series,Serie,Comedy,2020,38,3.65,7,Korea,Japones,G,2023-09-08
CNT00086,Drama Queens,Serie,Animation,2020,49,4.51,8,Japan,Español,PG,2021-06-30
CNT00087,Beyond the Horizon 87,Pelicula,Mystery,2022,105,3.06,0,France,Japones,PG,2023-12-24
CNT00088,Beyond the Horizon 88,Pelicula,Animation,2021,101,3.45,0,Korea,Español,R,2020-08-28
CNT00089,Eternal Flame 89,Pelicula,Sci-Fi,2023,180,3.55,0,Korea,Aleman,R,2021-05-14
CNT00090,Documentary Series,Serie,Horror,2024,46,4.49,3,Korea,Español,PG-13,2024-05-01
CNT00091,Historical Tales 91,Serie,Animation,2019,56,3.01,5,Korea,Japones,NC-17,2023-09-13
CNT00092,The Office Club 92,Serie,Romance,2020,40,4.1,7,Brazil,Frances,PG,2023-11-29
CNT00093,Rising Storm 93,Pelicula,Thriller,2015,130,4.49,0,Italy,Aleman,R,2023-09-21
CNT00094,Eternal Flame 94,Pelicula,Action,2023,165,3.66,0,USA,Aleman,G,2022-12-13
CNT00095,Crime Stories 95,Serie,Thriller,2017,32,3.94,5,Peru,Japones,R,2023-08-23
CNT00096,City of Dreams 96,Pelicula,Animation,2021,130,4.25,0,Japan,Aleman,NC-17,2020-03-14
CNT00097,Lost in Time 97,Pelicula,Sci-Fi,2018,101,3.87,0,USA,Español,R,2020-12-06
CNT00098,Crime Stories,Serie,Drama,2019,41,3.75,3,Argentina,Japones,R,2023-03-05
CNT00099,The Hidden Truth,Pelicula,Crime,2021,169,4.37,0,Brazil,Japones,PG,2021-04-20
CNT00100,Family Matters 100,Serie,Fantasy,2015,58,4.61,5,France,Japones,PG,2020-05-31
CNT00101,Sci-Fi Adventures 101,Serie,Sci-Fi,2021,52,3.5,5,Argentina,Aleman,R,2020-08-06
CNT00102,Shadow Games 102,Pelicula,Crime,2019,179,3.59,0,Korea,Aleman,PG-13,2020-01-17
CNT00103,Golden Age 103,Pelicula,Sci-Fi,2018,167,4.6,0,Argentina,Ingles,NC-17,2021-05-28
CNT00104,The Outsider,Pelicula,Fantasy,2015,129,4.58,0,Mexico,Japones,PG-13,2024-02-08
CNT00105,Echoes of Tomorrow 105,Pelicula,Documentary,2021,112,3.4,0,Japan,Japones,PG-13,2022-12-23
CNT00106,Medical Center,Serie,Romance,2019,53,4.74,2,Brazil,Español,PG,2024-03-24
CNT00107,Dark Waters 107,Pelicula,Thriller,2023,136,3.18,0,Chile,Español,PG-13,2023-01-03
CNT00108,The Return 108,Pelicula,Mystery,2019,164,3.76,0,France,Frances,G,2023-10-14
CNT00109,Eternal Flame,Pelicula,Animation,2020,168,3.44,0,USA,Aleman,PG-13,2023-08-22
CNT00110,Dark Secrets,Serie,Drama,2019,45,3.23,4,UK,Ingles,R,2022-07-18
CNT00111,Documentary Series 111,Serie,Mystery,2017,58,3.83,2,Korea,Aleman,NC-17,2022-04-15
CNT00112,The Dynasty 112,Serie,Horror,2022,44,4.9,6,USA,Frances,NC-17,2023-08-13
CNT00113,The Dynasty 113,Serie,Horror,2016,60,4.7,8,USA,Ingles,NC-17,2020-02-13
CNT00114,Night Watch 114,Pelicula,Action,2024,116,3.14,0,Japan,Japones,PG,2023-04-15
CNT00115,Lost in Time 115,Pelicula,Action,2024,90,3.55,0,Spain,Ingles,NC-17,2021-05-28
CNT00116,Silent Waters 116,Pelicula,Drama,2017,91,3.72,0,Japan,Ingles,NC-17,2021-10-25
CNT00117,The Hidden Truth,Pelicula,Action,2021,157,3.23,0,USA,Aleman,R,2024-05-12
CNT00118,Romance Stories 118,Serie,Romance,2023,37,4.89,1,Italy,Japones,PG-13,2022-07-27
CNT00119,Dark Paradise 119,Pelicula,Thriller,2021,177,3.22,0,Italy,Aleman,G,2020-06-14
CNT00120,The Office Club,Serie,Sci-Fi,2024,50,4.17,6,Chile,Japones,NC-17,2021-08-26
CNT00121,Romance Stories 121,Serie,Comedy,2016,57,4.31,4,Chile,Aleman,PG,2022-04-27
CNT00122,Action Heroes 122,Serie,Mystery,2016,40,3.85,5,Peru,Ingles,R,2020-05-17
CNT00123,Echoes of Tomorrow,Pelicula,Comedy,2020,106,4.11,0,Germany,Japones,NC-17,2021-11-06
CNT00124,Wild Hearts 124,Pelicula,Fantasy,2021,96,4.94,0,Germany,Frances,PG-13,2020-07-31
CNT00125,Breaking Dawn 125,Pelicula,Horror,2016,134,4.69,0,Peru,Español,PG-13,2023-03-21
CNT00126,Night Watch 126,Pelicula,Animation,2024,168,4.35,0,UK,Español,NC-17,2023-09-09
CNT00127,Crime Stories,Serie,Mystery,2019,59,3.68,1,Spain,Ingles,NC-17,2023-09-08
CNT00128,Modern Life,Serie,Fantasy,2015,32,4.49,4,Chile,Aleman,R,2021-11-29
CNT00129,The Forgotten 129,Pelicula,Documentary,2024,166,3.17,0,Mexico,Ingles,PG,2024-03-25
CNT00130,Dark Waters,Pelicula,Romance,2021,152,4.21,0,Chile,Frances,PG,2024-03-26
CNT00131,The Forgotten 131,Pelicula,Sci-Fi,2024,152,4.05,0,Colombia,Español,PG,2022-03-20
CNT00132,The Last Kingdom,Pelicula,Horror,2017,122,3.58,0,USA,Español,R,2024-03-09
CNT00133,Medical Center,Serie,Animation,2018,46,4.12,6,USA,Aleman,G,2022-06-12
CNT00134,The Return 134,Pelicula,Documentary,2024,144,4.15,0,Italy,Aleman,PG-13,2020-08-23
CNT00135,Crime Stories 135,Serie,Action,2024,44,4.66,6,USA,Aleman,G,2021-05-13
CNT00136,Comedy Hour 136,Serie,Thriller,2019,53,3.68,6,Japan,Ingles,G,2022-11-11
CNT00137,Northern Lights 137,Pelicula,Documentary,2020,172,4.63,0,Argentina,Español,PG,2021-06-08
CNT00138,The Hidden Truth 138,Pelicula,Fantasy,2016,112,4.9,0,France,Aleman,R,2024-03-25
CNT00139,Historical Tales 139,Serie,Fantasy,2020,34,3.88,8,Brazil,Frances,PG-13,2023-04-26
CNT00140,The Forgotten 140,Pelicula,Sci-Fi,2022,147,3.08,0,Peru,Frances,G,2023-08-13
CNT00141,Golden Age 141,Pelicula,Thriller,2022,164,4.11,0,Japan,Español,R,2024-07-16
CNT00142,City of Dreams 142,Pelicula,Animation,2017,97,3.9,0,Japan,Frances,G,2022-10-30
CNT00143,Dark Paradise,Pelicula,Romance,2022,157,4.05,0,Spain,Frances,PG-13,2021-08-02
CNT00144,Drama Queens 144,Serie,Fantasy,2024,31,4.58,6,USA,Frances,G,2023-02-16
CNT00145,Street Life,Serie,Fantasy,2024,57,3.3,2,Germany,Ingles,PG-13,2021-09-27
CNT00146,The Office Club 146,Serie,Comedy,2019,47,3.75,6,Korea,Ingles,NC-17,2020-07-10
CNT00147,Romance Stories 147,Serie,Documentary,2019,35,4.9,6,Japan,Aleman,PG,2021-04-08
CNT00148,Breaking Dawn,Pelicula,Comedy,2023,159,4.67,0,UK,Español,PG-13,2024-11-29
CNT00149,Golden Age 149,Pelicula,Action,2017,178,4.54,0,Japan,Ingles,R,2020-03-30
CNT00150,Sci-Fi Adventures 150,Serie,Horror,2022,49,3.57,8,Argentina,Japones,PG,2021-09-25
CNT00151,Legal Eagles 151,Serie,Crime,2022,44,4.54,7,UK,Japones,R,2020-11-27
CNT00152,Night Watch 152,Pelicula,Sci-Fi,2015,172,3.96,0,Peru,Japones,G,2023-12-27
CNT00153,Beyond the Horizon,Pelicula,Action,2019,147,4.81,0,Spain,Aleman,G,2021-03-30
CNT00154,Sci-Fi Adventures 154,Serie,Thriller,2015,42,4.0,4,Chile,Español,PG-13,2021-04-04
CNT00155,City of Dreams 155,Pelicula,Mystery,2020,108,3.28,0,Colombia,Aleman,PG,2024-04-03
CNT00156,Action Heroes 156,Serie,Comedy,2015,38,3.43,3,UK,Japones,NC-17,2022-05-16
CNT00157,Secret Garden,Pelicula,Sci-Fi,2016,96,3.48,0,France,Japones,R,2020-05-08
CNT00158,Eternal Flame 158,Pelicula,Drama,2023,163,3.48,0,Spain,Frances,R,2020-01-04
CNT00159,Tech World 159,Serie,Action,2016,46,4.95,2,UK,Japones,NC-17,2024-05-29
CNT00160,Shadow Games 160,Pelicula,Drama,2021,137,3.51,0,Mexico,Frances,G,2021-12-07
CNT00161,The Last Stand 161,Pelicula,Comedy,2024,132,3.27,0,Peru,Japones,PG-13,2024-07-24
CNT00162,Secret Garden 162,Pelicula,Mystery,2022,170,3.36,0,Spain,Español,R,2020-03-16
CNT00163,Legal Eagles,Serie,Horror,2015,40,4.87,7,Korea,Japones,R,2021-06-02
CNT00164,Secret Garden 164,Pelicula,Sci-Fi,2020,96,4.73,0,Peru,Frances,G,2024-06-25
CNT00165,Drama Queens 165,Serie,Mystery,2022,58,4.91,6,Spain,Aleman,R,2022-01-22
CNT00166,Modern Life 166,Serie,Comedy,2021,49,4.99,3,UK,Frances,PG-13,2020-07-29
CNT00167,City of Dreams 167,Pelicula,Sci-Fi,2022,167,4.44,0,Spain,Aleman,PG-13,2022-07-04
CNT00168,The Last Stand 168,Pelicula,Documentary,2024,145,3.55,0,Japan,Español,G,2023-10-06
CNT00169,Sci-Fi Adventures 169,Serie,Mystery,2017,60,3.06,8,Mexico,Ingles,G,2021-04-28
CNT00170,Sci-Fi Adventures 170,Serie,Crime,2015,49,3.31,8,Peru,Frances,R,2024-04-11
CNT00171,Rising Storm,Pelicula,Documentary,2021,130,4.3,0,Argentina,Español,G,2024-02-15
CNT00172,Eternal Flame 172,Pelicula,Animation,2016,123,4.55,0,Italy,Aleman,PG,2023-06-07
CNT00173,Mystery Files,Serie,Action,2016,44,3.35,8,USA,Frances,PG-13,2023-12-24
CNT00174,Deep Blue 174,Pelicula,Sci-Fi,2017,180,4.85,0,France,Ingles,PG-13,2022-11-07
CNT00175,Silent Waters 175,Pelicula,Action,2018,153,3.05,0,UK,Japones,PG-13,2022-08-15
CNT00176,Golden Age 176,Pelicula,Comedy,2019,140,5.0,0,Italy,Aleman,NC-17,2022-04-21
CNT00177,Modern Life,Serie,Documentary,2016,44,3.93,6,Spain,Japones,NC-17,2021-01-07
CNT00178,Wild Hearts 178,Pelicula,Drama,2016,156,3.31,0,Spain,Ingles,PG-13,2023-12-23
CNT00179,The Forgotten 179,Pelicula,Animation,2019,100,3.5,0,France,Japones,PG-13,2020-09-13
CNT00180,Documentary Series,Serie,Fantasy,2017,48,4.88,3,Spain,Japones,NC-17,2021-11-22
CNT00181,The Last Kingdom,Pelicula,Fantasy,2024,123,4.3,0,Japan,Japones,R,2023-06-19
CNT00182,Eternal Flame 182,Pelicula,Animation,2019,172,4.91,0,Brazil,Ingles,R,2021-09-01
CNT00183,Modern Life 183,Serie,Action,2022,43,3.97,4,Peru,Japones,PG,2021-10-02
CNT00184,Sci-Fi Adventures 184,Serie,Action,2020,46,4.12,6,Argentina,Aleman,G,2021-07-01
CNT00185,Tech World,Serie,Drama,2019,60,3.77,7,Argentina,Ingles,PG-13,2023-03-29
CNT00186,Legal Eagles 186,Serie,Romance,2023,44,4.0,5,Brazil,Español,G,2022-03-16
CNT00187,Tech World,Serie,Documentary,2015,31,3.56,8,Colombia,Japones,G,2024-10-01
CNT00188,Wild Hearts,Pelicula,Sci-Fi,2020,141,3.73,0,Chile,Español,NC-17,2023-02-24
CNT00189,The Forgotten 189,Pelicula,Comedy,2021,154,3.9,0,UK,Frances,NC-17,2023-10-25
CNT00190,Breaking Dawn 190,Pelicula,Thriller,2020,133,4.12,0,Peru,Ingles,PG,2023-05-18
CNT00191,Romance Stories,Serie,Drama,2017,52,3.67,8,UK,Aleman,PG,2023-05-26
CNT00192,City of Dreams 192,Pelicula,Documentary,2017,140,4.98,0,Italy,Frances,NC-17,2021-11-19
CNT00193,Street Life 193,Serie,Drama,2020,40,4.35,7,Germany,Frances,G,2023-05-07
CNT00194,Family Matters 194,Serie,Crime,2024,37,4.44,8,Spain,Japones,NC-17,2024-05-05
CNT00195,The Office Club 195,Serie,Horror,2015,48,4.9,2,Argentina,Español,R,2021-10-04
CNT00196,The Office Club 196,Serie,Horror,2021,46,4.55,8,Korea,Español,PG,2022-11-28
CNT00197,Deep Blue 197,Pelicula,Fantasy,2022,157,3.75,0,Spain,Aleman,NC-17,2021-12-02
CNT00198,Family Matters 198,Serie,Horror,2018,38,4.12,4,Colombia,Frances,PG,2023-11-14
CNT00199,Historical Tales 199,Serie,Animation,2019,39,3.24,7,Chile,Frances,PG,2021-08-17
CNT00200,Beyond the Horizon 200,Pelicula,Comedy,2020,146,4.31,0,Italy,Aleman,PG,2021-02-17
CNT00201,Documentary Series 201,Serie,Action,2016,49,4.48,4,Argentina,Español,NC-17,2021-04-07
CNT00202,Dark Paradise,Pelicula,Documentary,2022,102,4.36,0,Spain,Español,NC-17,2020-11-19
CNT00203,Mystery Files 203,Serie,Horror,2019,40,3.57,1,Japan,Español,NC-17,2021-04-20
CNT00204,The Hidden Truth 204,Pelicula,Action,2015,140,4.58,0,Spain,Frances,G,2020-01-19
CNT00205,Dark Secrets 205,Serie,Documentary,2019,44,4.98,8,Spain,Japones,R,2021-07-12
CNT00206,Night Watch,Pelicula,Action,2022,172,3.51,0,Spain,Español,PG-13,2024-06-07
CNT00207,Legal Eagles,Serie,Fantasy,2021,56,3.86,6,USA,Aleman,G,2021-01-13
CNT00208,Eternal Flame 208,Pelicula,Horror,2015,123,3.77,0,Brazil,Frances,PG-13,2021-09-10
CNT00209,The Final Chapter 209,Pelicula,Mystery,2018,97,4.34,0,Brazil,Frances,PG,2022-04-10
CNT00210,Dark Secrets 210,Serie,Sci-Fi,2020,49,3.44,3,Brazil,Ingles,R,2024-03-11
CNT00211,Drama Queens 211,Serie,Romance,2023,55,4.33,4,Japan,Ingles,NC-17,2024-11-23
CNT00212,Northern Lights 212,Pelicula,Mystery,2020,99,4.83,0,USA,Español,NC-17,2022-11-01
CNT00213,Rising Storm 213,Pelicula,Action,2020,156,3.88,0,France,Ingles,NC-17,2022-09-28
CNT00214,Northern Lights 214,Pelicula,Drama,2022,106,4.03,0,Brazil,Japones,G,2023-02-18
CNT00215,Street Life 215,Serie,Thriller,2019,56,3.01,4,Germany,Español,G,2022-05-17
CNT00216,Modern Life 216,Serie,Drama,2016,59,3.94,5,Chile,Ingles,PG,2024-04-17
CNT00217,Sci-Fi Adventures 217,Serie,Thriller,2022,57,4.83,7,Chile,Español,NC-17,2020-09-29
CNT00218,Dark Secrets,Serie,Animation,2021,46,3.25,4,Korea,Español,G,2021-09-03
CNT00219,Documentary Series 219,Serie,Thriller,2018,37,3.92,3,Colombia,Ingles,G,2020-03-06
CNT00220,Crime Stories,Serie,Comedy,2016,49,3.07,1,Argentina,Español,R,2022-06-17
CNT00221,Deep Blue,Pelicula,Drama,2017,154,4.99,0,Argentina,Japones,PG-13,2023-03-28
CNT00222,Tech World 222,Serie,Action,2023,37,3.83,5,Mexico,Japones,NC-17,2024-12-06
CNT00223,The Outsider 223,Pelicula,Animation,2022,96,4.94,0,France,Aleman,NC-17,2021-10-14
CNT00224,Drama Queens,Serie,Thriller,2017,54,4.08,4,Korea,Ingles,PG-13,2024-10-22
CNT00225,Night Watch 225,Pelicula,Drama,2023,142,4.94,0,UK,Japones,PG,2022-03-06
CNT00226,The Final Chapter,Pelicula,Fantasy,2016,147,4.69,0,USA,Japones,PG,2020-04-15
CNT00227,Comedy Hour 227,Serie,Crime,2015,57,3.15,4,Brazil,Ingles,PG-13,2021-09-12
CNT00228,Midnight Sun 228,Pelicula,Mystery,2016,151,4.83,0,Italy,Japones,PG,2022-03-23
CNT00229,Deep Blue 229,Pelicula,Sci-Fi,2021,149,4.07,0,Peru,Frances,PG-13,2022-01-06
CNT00230,Action Heroes,Serie,Mystery,2022,54,4.68,4,Peru,Frances,R,2020-04-03
CNT00231,The Last Stand,Pelicula,Sci-Fi,2023,164,4.16,0,Chile,Frances,PG,2021-02-05
CNT00232,Tech World 232,Serie,Horror,2022,47,4.31,6,Colombia,Aleman,R,2022-08-01
CNT00233,The Last Stand 233,Pelicula,Action,2017,159,3.98,0,UK,Español,NC-17,2020-03-10
CNT00234,Dark Waters,Pelicula,Drama,2021,107,4.69,0,Argentina,Español,PG,2020-01-19
CNT00235,Northern Lights 235,Pelicula,Drama,2024,171,4.33,0,Germany,Aleman,R,2020-02-02
CNT00236,Deep Blue 236,Pelicula,Drama,2015,157,4.44,0,UK,Frances,G,2022-10-25
CNT00237,Medical Center,Serie,Comedy,2023,34,3.48,5,Korea,Frances,PG-13,2024-06-16
CNT00238,Modern Life 238,Serie,Thriller,2022,48,3.49,4,Colombia,Español,G,2020-07-10
CNT00239,Comedy Hour 239,Serie,Romance,2015,50,3.02,3,USA,Aleman,R,2023-08-13
CNT00240,Dark Secrets 240,Serie,Drama,2018,36,4.8,8,Colombia,Español,G,2023-11-02
CNT00241,Documentary Series 241,Serie,Drama,2017,59,4.7,1,Argentina,Japones,PG,2024-03-20
CNT00242,Modern Life,Serie,Crime,2018,48,4.67,7,France,Japones,PG-13,2022-02-25
CNT00243,Night Watch 243,Pelicula,Mystery,2016,154,4.49,0,Peru,Español,G,2022-06-14
CNT00244,Echoes of Tomorrow 244,Pelicula,Crime,2024,140,4.94,0,Peru,Español,PG-13,2024-05-23
CNT00245,Mystery Files,Serie,Animation,2021,43,3.37,7,USA,Japones,PG-13,2024-06-22
CNT00246,Broken Promises,Pelicula,Sci-Fi,2017,138,4.42,0,France,Ingles,R,2021-10-10
CNT00247,Dark Secrets,Serie,Sci-Fi,2022,41,4.52,2,Spain,Español,PG,2022-06-01
CNT00248,Documentary Series 248,Serie,Thriller,2016,30,3.18,2,Germany,Japones,PG-13,2024-11-03
CNT00249,Crime Stories,Serie,Thriller,2016,53,4.8,4,Germany,Japones,PG,2023-11-04
CNT00250,Medical Center,Serie,Sci-Fi,2019,45,3.29,3,Chile,Frances,R,2021-09-05
CNT00251,Modern Life 251,Serie,Horror,2022,49,4.23,8,USA,Ingles,PG-13,2020-01-14
CNT00252,Historical Tales 252,Serie,Thriller,2020,44,3.67,3,Colombia,Frances,NC-17,2023-11-24
CNT00253,Eternal Flame 253,Pelicula,Thriller,2020,127,4.47,0,France,Aleman,NC-17,2024-05-20
CNT00254,City of Dreams 254,Pelicula,Thriller,2020,104,4.86,0,Argentina,Japones,NC-17,2021-01-03
CNT00255,The Last Stand 255,Pelicula,Mystery,2018,146,4.6,0,Korea,Español,R,2023-10-10
CNT00256,The Office Club 256,Serie,Horror,2019,51,3.31,7,Japan,Aleman,G,2022-07-08
