timestamp|user_id|action|device|country|details
2023-10-06 08:10:26|USR00511|PLAY|Tablet|Colombia|content=CNT00171,quality=HDR
2024-12-12 22:10:52|USR00084|DOWNLOAD|Laptop|Italy|status=OK
2023-08-21 16:50:15|USR00631|LOGOUT|Tablet|Italy|session_duration=17min
2023-05-05 22:32:39|USR00399|SHARE|Desktop|France|status=OK
2023-07-21 09:26:56|USR00890|DOWNLOAD|Tablet|Italy|status=OK
2024-02-02 14:39:00|USR00987|BROWSE|Desktop|France|status=OK
2024-01-23 09:21:06|USR00721|PAUSE|Laptop|Brazil|status=OK
2024-04-02 02:19:19|USR00741|LOGIN|Smart TV|Korea|ip=192.168.224.179,success=True
2024-02-11 18:44:51|USR00377|LOGIN|Tablet|Germany|ip=192.168.20.49,success=True
2024-05-19 23:19:21|USR00868|SEARCH|Mobile|Chile|query='comedy series',results=131
2023-06-05 23:59:10|USR00322|PLAY|Mobile|France|content=CNT00319,quality=Full HD
2023-02-03 08:43:23|USR00382|RATE|Laptop|Chile|content=CNT00086,rating=4
2023-09-04 07:41:28|USR00508|SHARE|Mobile|Argentina|status=OK
2024-06-12 19:16:54|USR00107|ERROR|Mobile|Peru|type=AUTH_EXPIRED,severity=LOW
2024-06-05 19:20:57|USR00132|PAUSE|Tablet|Brazil|status=OK
2024-12-12 03:33:27|USR00347|RATE|Desktop|Colombia|content=CNT00207,rating=5
2023-10-11 20:40:50|USR00506|PAUSE|Laptop|Colombia|status=OK
2023-10-09 09:14:15|USR00277|DOWNLOAD|Mobile|Italy|status=OK
2023-01-17 19:27:21|USR00070|STOP|Smart TV|Mexico|status=OK
2023-05-05 17:58:02|USR00268|STOP|Desktop|Italy|status=OK
2024-12-02 04:10:21|USR00222|PAUSE|Laptop|USA|status=OK
2023-03-04 20:54:23|USR00455|RATE|Gaming Console|Spain|content=CNT00174,rating=2
2023-09-23 23:01:00|USR00162|DOWNLOAD|Smart TV|Chile|status=OK
2024-10-06 01:14:12|USR00149|ERROR|Laptop|Argentina|type=AUTH_EXPIRED,severity=CRITICAL
2023-04-12 18:45:33|USR00115|PAUSE|Tablet|Mexico|status=OK
2024-10-26 05:29:42|USR00714|RATE|Mobile|Spain|content=CNT00376,rating=3
2024-06-13 04:56:19|USR00473|LOGIN|Mobile|UK|ip=192.168.190.72,success=True
2023-06-09 20:37:57|USR00625|DOWNLOAD|Laptop|Peru|status=OK
2024-11-17 20:37:25|USR00058|SHARE|Gaming Console|Brazil|status=OK
2024-03-05 20:49:43|USR00587|STOP|Smart TV|Korea|status=OK
2023-06-14 09:03:21|USR00723|LOGIN|Tablet|USA|ip=192.168.109.131,success=True
2024-07-05 18:02:21|USR00274|SEARCH|Gaming Console|Colombia|query='comedy series',results=15
2023-10-23 08:00:18|USR00573|BROWSE|Mobile|Italy|status=OK
2023-10-02 08:25:19|USR00193|BROWSE|Smart TV|Mexico|status=OK
2023-06-11 22:42:18|USR00346|LOGOUT|Mobile|UK|session_duration=142min
2023-06-28 04:22:39|USR00598|ERROR|Mobile|Mexico|type=AUTH_EXPIRED,severity=LOW
2023-01-02 10:24:31|USR00386|DOWNLOAD|Gaming Console|Brazil|status=OK
2024-07-18 22:41:23|USR00918|DOWNLOAD|Gaming Console|Argentina|status=OK
2024-01-05 14:25:37|USR00742|SEARCH|Laptop|Mexico|query='new releases',results=33
2023-02-19 20:50:21|USR00867|LOGOUT|Smart TV|Peru|session_duration=30min
2023-09-13 04:03:41|USR00523|BROWSE|Gaming Console|Japan|status=OK
2023-10-03 09:56:51|USR00206|PLAY|Gaming Console|USA|content=CNT00105,quality=HDR
2023-05-07 16:01:33|USR00858|LOGIN|Smart TV|Colombia|ip=192.168.174.63,success=True
2023-04-07 01:45:39|USR00517|PLAY|Gaming Console|Peru|content=CNT00129,quality=SD
2024-07-22 07:06:03|USR00086|SEARCH|Mobile|Italy|query='top rated',results=36
2023-11-18 03:21:53|USR00808|LOGOUT|Mobile|Chile|session_duration=114min
2023-11-12 17:58:07|USR00182|SHARE|Mobile|Germany|status=OK
2024-05-23 10:17:09|USR00215|STOP|Laptop|Japan|status=OK
2024-08-02 02:33:06|USR00709|DOWNLOAD|Laptop|Argentina|status=OK
2024-03-06 19:44:00|USR00871|RATE|Smart TV|USA|content=CNT00107,rating=3
2024-10-01 05:18:48|USR00417|SEARCH|Gaming Console|Italy|query='spanish films',results=149
2023-09-17 08:19:52|USR00546|SEARCH|Mobile|Germany|query='new releases',results=116
2023-08-15 12:09:10|USR00803|PLAY|Mobile|Mexico|content=CNT00001,quality=SD
2023-04-23 06:28:11|USR00498|PLAY|Smart TV|Japan|content=CNT00132,quality=4K
2023-03-10 18:52:35|USR00500|STOP|Desktop|Brazil|status=OK
2023-05-22 00:49:41|USR00529|DOWNLOAD|Smart TV|Korea|status=OK
2024-05-06 11:25:25|USR00405|RATE|Gaming Console|Chile|content=CNT00144,rating=4
2023-03-01 21:11:12|USR00224|DOWNLOAD|Gaming Console|USA|status=OK
2023-09-05 09:27:57|USR00738|LOGOUT|Laptop|USA|session_duration=156min
2023-10-06 15:51:35|USR00888|LOGIN|Mobile|Argentina|ip=192.168.64.55,success=True
2024-03-31 22:27:38|USR00344|DOWNLOAD|Laptop|Colombia|status=OK
2024-03-19 09:38:46|USR00638|ERROR|Tablet|Colombia|type=NETWORK_TIMEOUT,severity=HIGH
2023-12-19 10:22:41|USR00676|BROWSE|Laptop|UK|status=OK
2024-01-03 12:35:19|USR00747|PAUSE|Laptop|Korea|status=OK
2024-03-27 22:31:57|USR00447|SEARCH|Desktop|Italy|query='action movies',results=128
2024-08-29 06:15:00|USR00869|SEARCH|Mobile|Japan|query='spanish films',results=90
2024-06-25 18:17:00|USR00398|SEARCH|Smart TV|Japan|query='spanish films',results=8
2023-02-12 03:17:09|USR00186|RATE|Mobile|Korea|content=CNT00388,rating=4
2023-02-14 15:06:16|USR00847|SHARE|Smart TV|Japan|status=OK
2023-08-28 01:31:46|USR00637|SHARE|Laptop|Argentina|status=OK
2024-09-14 13:49:00|USR00673|BROWSE|Gaming Console|Peru|status=OK
2023-04-29 13:19:18|USR00732|LOGOUT|Desktop|Peru|session_duration=92min
2024-02-29 12:51:35|USR00764|STOP|Gaming Console|France|status=OK
2023-10-22 09:01:14|USR00094|RATE|Tablet|Argentina|content=CNT00389,rating=2
2024-12-04 11:18:16|USR00740|STOP|Smart TV|Peru|status=OK
2023-04-25 02:09:31|USR00179|SHARE|Laptop|USA|status=OK
2023-02-05 12:44:41|USR00323|SEARCH|Desktop|France|query='action movies',results=74
2023-02-25 02:47:37|USR00336|RATE|Laptop|Colombia|content=CNT00215,rating=5
2023-08-24 05:18:13|USR00283|DOWNLOAD|Mobile|Mexico|status=OK
2023-06-28 20:05:41|USR00750|SHARE|Tablet|Argentina|status=OK
2024-02-01 10:21:40|USR00698|LOGOUT|Tablet|France|session_duration=105min
2023-06-07 12:31:03|USR00552|SEARCH|Gaming Console|Mexico|query='new releases',results=33
2023-04-30 12:26:49|USR00855|PAUSE|Gaming Console|USA|status=OK
2023-01-21 19:14:42|USR00563|LOGOUT|Gaming Console|Chile|session_duration=132min
2023-05-04 04:30:04|USR00708|BROWSE|Laptop|UK|status=OK
2024-01-10 07:08:07|USR00196|STOP|Desktop|USA|status=OK
2023-08-20 16:04:01|USR00566|LOGOUT|Mobile|USA|session_duration=120min
2023-11-28 06:47:21|USR00438|SEARCH|Smart TV|Argentina|query='spanish films',results=101
2024-12-24 06:36:34|USR00865|LOGOUT|Smart TV|Brazil|session_duration=152min
2023-01-07 14:48:36|USR00994|STOP|Mobile|Korea|status=OK
2023-01-23 09:33:17|USR00482|LOGIN|Smart TV|Germany|ip=192.168.129.27,success=True
2023-09-07 08:15:40|USR00225|PLAY|Gaming Console|Korea|content=CNT00373,quality=Full HD
2023-04-15 04:40:46|USR00562|LOGIN|Laptop|Chile|ip=192.168.160.24,success=True
2023-01-27 03:48:07|USR00292|PLAY|Tablet|Peru|content=CNT00282,quality=HD
2023-04-11 18:49:14|USR00716|PLAY|Desktop|Mexico|content=CNT00182,quality=4K
2024-07-19 08:26:42|USR00988|DOWNLOAD|Gaming Console|Spain|status=OK
2024-11-15 10:53:06|USR00433|LOGOUT|Smart TV|France|session_duration=81min
2023-06-24 10:23:23|USR00687|SEARCH|Smart TV|Germany|query='comedy series',results=6
2023-01-28 14:16:44|USR00086|LOGIN|Laptop|Brazil|ip=192.168.221.232,success=True
2024-11-20 10:55:33|USR00189|STOP|Gaming Console|Chile|status=OK
2023-07-12 22:11:38|USR00891|LOGOUT|Laptop|Italy|session_duration=118min
2023-09-01 15:12:44|USR00614|ERROR|Desktop|Korea|type=CONTENT_UNAVAILABLE,severity=HIGH
2023-02-12 17:57:07|USR00676|SEARCH|Desktop|Brazil|query='top rated',results=80
2023-10-12 23:22:47|USR00735|LOGOUT|Tablet|Spain|session_duration=143min
2023-05-25 14:34:59|USR00290|STOP|Smart TV|Japan|status=OK
2023-06-29 22:11:46|USR00072|PLAY|Gaming Console|Germany|content=CNT00095,quality=SD
2023-07-15 05:24:33|USR00731|LOGOUT|Desktop|Spain|session_duration=91min
2023-12-02 17:08:47|USR00533|PLAY|Laptop|Mexico|content=CNT00289,quality=4K
2024-07-19 13:15:26|USR00304|BROWSE|Desktop|Argentina|status=OK
2024-10-01 06:34:52|USR00297|BROWSE|Gaming Console|Brazil|status=OK
2023-07-18 10:40:18|USR00865|BROWSE|Tablet|Germany|status=OK
2024-06-03 10:42:45|USR00847|DOWNLOAD|Mobile|Peru|status=OK
2023-08-13 04:03:38|USR00185|PAUSE|Laptop|USA|status=OK
2024-01-29 17:12:43|USR00848|LOGOUT|Tablet|Italy|session_duration=127min
2023-01-09 04:14:05|USR00927|PAUSE|Desktop|Brazil|status=OK
2023-12-09 00:39:09|USR00212|LOGOUT|Gaming Console|Peru|session_duration=69min
2023-08-09 09:05:14|USR00373|STOP|Gaming Console|Korea|status=OK
2023-04-24 00:02:26|USR00264|SHARE|Smart TV|USA|status=OK
2023-10-10 04:24:08|USR00591|PAUSE|Desktop|France|status=OK
2024-09-17 17:19:02|USR00780|SEARCH|Tablet|USA|query='spanish films',results=94
2023-10-08 16:33:26|USR00893|RATE|Smart TV|Chile|content=CNT00389,rating=5
2024-02-06 16:19:01|USR00538|SEARCH|Laptop|Italy|query='comedy series',results=22
2023-01-29 19:35:05|USR00816|PAUSE|Tablet|Brazil|status=OK
2024-01-21 07:57:21|USR00769|BROWSE|Gaming Console|Mexico|status=OK
2023-07-28 18:04:11|USR00955|PAUSE|Desktop|Japan|status=OK
2023-06-07 04:49:40|USR00587|BROWSE|Gaming Console|Chile|status=OK
2023-04-15 21:07:36|USR00006|DOWNLOAD|Mobile|France|status=OK
2023-12-23 22:18:09|USR00342|RATE|Laptop|Brazil|content=CNT00239,rating=3
2024-05-26 01:54:28|USR00806|LOGIN|Smart TV|Korea|ip=192.168.50.13,success=True
2023-11-09 20:40:59|USR00715|LOGOUT|Gaming Console|UK|session_duration=7min
2024-04-19 02:23:24|USR00402|RATE|Tablet|Brazil|content=CNT00110,rating=1
2024-08-21 22:45:08|USR00831|SEARCH|Tablet|Korea|query='top rated',results=82
2024-09-01 12:11:14|USR00653|BROWSE|Mobile|USA|status=OK
2024-10-04 05:12:36|USR00458|STOP|Desktop|USA|status=OK
2024-02-19 06:49:52|USR00508|PAUSE|Mobile|Korea|status=OK
2023-07-06 08:34:31|USR00043|BROWSE|Smart TV|Argentina|status=OK
2024-12-24 08:52:12|USR00143|SEARCH|Desktop|Chile|query='comedy series',results=38
2023-05-23 20:15:47|USR00167|BROWSE|Tablet|Chile|status=OK
2024-11-30 23:58:03|USR00115|LOGOUT|Desktop|UK|session_duration=112min
2024-01-21 02:33:17|USR00698|LOGOUT|Smart TV|Japan|session_duration=42min
2024-10-07 23:08:10|USR00111|RATE|Mobile|Argentina|content=CNT00120,rating=3
2023-07-20 15:50:05|USR00191|SHARE|Mobile|Mexico|status=OK
2023-09-02 12:12:38|USR00875|PAUSE|Desktop|Argentina|status=OK
2023-05-15 07:06:21|USR00971|DOWNLOAD|Gaming Console|Colombia|status=OK
2023-03-01 12:58:54|USR00499|PLAY|Desktop|Argentina|content=CNT00188,quality=4K
2024-08-14 18:43:17|USR00373|PLAY|Gaming Console|USA|content=CNT00162,quality=Full HD
2024-03-11 05:48:05|USR00024|PAUSE|Gaming Console|Italy|status=OK
2023-03-21 07:32:19|USR00280|BROWSE|Smart TV|Germany|status=OK
2023-03-14 03:04:28|USR00386|PAUSE|Gaming Console|UK|status=OK
2023-10-25 07:19:46|USR00763|DOWNLOAD|Laptop|Italy|status=OK
2024-03-10 09:59:31|USR00597|DOWNLOAD|Smart TV|Germany|status=OK
2023-05-11 22:13:12|USR00436|LOGIN|Mobile|Germany|ip=192.168.186.65,success=True
2024-04-18 13:20:15|USR00465|PAUSE|Mobile|Argentina|status=OK
2024-04-28 03:52:38|USR00341|BROWSE|Tablet|Spain|status=OK
2023-04-26 09:06:32|USR00917|SHARE|Laptop|Argentina|status=OK
2024-05-19 13:10:43|USR00296|PAUSE|Mobile|Japan|status=OK
2024-11-29 10:22:36|USR00158|RATE|Desktop|Peru|content=CNT00342,rating=3
2024-06-25 09:14:29|USR00001|RATE|Desktop|Brazil|content=CNT00386,rating=5
2023-12-19 17:42:17|USR00681|BROWSE|Mobile|Mexico|status=OK
2023-01-28 10:00:39|USR00141|SEARCH|Laptop|Germany|query='spanish films',results=81
2023-08-01 00:44:47|USR00699|ERROR|Laptop|Mexico|type=PLAYBACK_FAILED,severity=HIGH
2023-07-01 01:54:03|USR00244|SHARE|Mobile|UK|status=OK
2024-10-31 02:35:04|USR00715|STOP|Smart TV|Japan|status=OK
2023-01-16 10:22:17|USR00295|RATE|Gaming Console|Colombia|content=CNT00195,rating=4
2024-07-20 11:38:43|USR00190|DOWNLOAD|Mobile|Mexico|status=OK
2024-04-23 17:31:15|USR00798|SHARE|Gaming Console|Korea|status=OK
2024-12-03 23:14:50|USR00345|PLAY|Tablet|Brazil|content=CNT00351,quality=SD
2023-04-19 09:23:43|USR00485|BROWSE|Smart TV|France|status=OK
2024-08-16 14:25:00|USR00828|PAUSE|Mobile|Argentina|status=OK
2024-09-01 02:43:39|USR00756|LOGIN|Smart TV|Colombia|ip=192.168.96.252,success=True
2023-10-01 00:16:15|USR00559|LOGIN|Smart TV|Chile|ip=192.168.10.134,success=True
2023-06-03 07:52:51|USR00977|PAUSE|Mobile|Japan|status=OK
2024-07-30 21:36:50|USR00017|RATE|Mobile|Korea|content=CNT00386,rating=2
2024-05-22 05:53:53|USR00753|ERROR|Tablet|Italy|type=NETWORK_TIMEOUT,severity=CRITICAL
2023-04-25 05:39:09|USR00502|PAUSE|Gaming Console|Argentina|status=OK
2023-06-18 09:51:24|USR00088|SEARCH|Gaming Console|Korea|query='action movies',results=44
2023-09-25 05:56:25|USR00286|LOGOUT|Mobile|Japan|session_duration=46min
2024-03-01 10:29:04|USR00683|DOWNLOAD|Smart TV|Peru|status=OK
2024-03-11 02:33:15|USR00149|RATE|Laptop|UK|content=CNT00197,rating=3
2023-08-12 17:31:20|USR00732|SHARE|Smart TV|Brazil|status=OK
2023-09-08 04:24:43|USR00610|STOP|Mobile|Germany|status=OK
2024-05-17 21:23:36|USR00354|PLAY|Smart TV|Spain|content=CNT00057,quality=4K
2024-01-16 11:24:51|USR00024|BROWSE|Smart TV|USA|status=OK
2024-02-21 09:50:23|USR00142|DOWNLOAD|Laptop|Colombia|status=OK
2024-12-04 21:52:41|USR00763|STOP|Tablet|Italy|status=OK
2023-06-14 18:00:02|USR00055|LOGOUT|Gaming Console|Mexico|session_duration=108min
2024-06-10 03:25:47|USR00982|BROWSE|Tablet|Japan|status=OK
2024-06-17 02:01:08|USR00059|LOGOUT|Tablet|Peru|session_duration=171min
2024-07-16 07:44:15|USR00586|DOWNLOAD|Laptop|Korea|status=OK
2023-05-02 17:29:42|USR00723|RATE|Mobile|Peru|content=CNT00444,rating=4
2023-01-14 12:51:33|USR00006|STOP|Gaming Console|UK|status=OK
2024-02-02 21:58:14|USR00588|PAUSE|Desktop|Spain|status=OK
2024-03-10 06:38:55|USR00304|ERROR|Laptop|Italy|type=CONTENT_UNAVAILABLE,severity=LOW
2024-01-05 07:50:56|USR00131|LOGOUT|Laptop|Chile|session_duration=155min
2023-11-16 11:11:00|USR00531|SHARE|Desktop|Italy|status=OK
2024-12-21 09:26:27|USR00737|STOP|Desktop|Chile|status=OK
2024-04-16 22:42:31|USR00945|RATE|Gaming Console|UK|content=CNT00441,rating=5
2024-03-11 00:23:14|USR00981|PAUSE|Smart TV|UK|status=OK
2023-01-03 06:20:20|USR00729|BROWSE|Laptop|USA|status=OK
2024-08-30 21:01:10|USR00088|DOWNLOAD|Laptop|Italy|status=OK
2024-11-10 00:07:38|USR00088|DOWNLOAD|Desktop|Argentina|status=OK
2023-09-29 18:36:49|USR00114|PAUSE|Laptop|Chile|status=OK
2024-10-12 19:35:06|USR00400|DOWNLOAD|Laptop|Chile|status=OK
2023-06-30 07:37:40|USR00964|SHARE|Mobile|Colombia|status=OK
2023-05-19 01:34:05|USR00101|LOGIN|Tablet|USA|ip=192.168.44.12,success=True
2024-08-04 00:21:45|USR00362|SEARCH|Laptop|Argentina|query='top rated',results=84
2024-01-03 01:11:44|USR00723|SHARE|Mobile|USA|status=OK
2023-11-05 06:52:20|USR00308|STOP|Smart TV|Peru|status=OK
2023-02-22 17:39:23|USR00564|STOP|Desktop|Italy|status=OK
2023-03-19 01:18:58|USR00968|PAUSE|Desktop|Argentina|status=OK
2024-11-24 13:50:36|USR00902|SHARE|Mobile|France|status=OK
2024-02-14 10:29:19|USR00095|LOGOUT|Tablet|Germany|session_duration=87min
2024-01-28 04:45:52|USR00236|RATE|Smart TV|Colombia|content=CNT00173,rating=3
2023-02-28 11:31:56|USR00419|LOGOUT|Gaming Console|Chile|session_duration=38min
2023-10-14 02:40:56|USR00061|BROWSE|Tablet|Chile|status=OK
2024-04-24 21:43:42|USR00058|SHARE|Laptop|Argentina|status=OK
2024-08-10 17:04:35|USR00828|STOP|Laptop|USA|status=OK
2023-08-10 13:22:01|USR00285|BROWSE|Laptop|Brazil|status=OK
2024-09-17 18:22:34|USR00322|SEARCH|Gaming Console|UK|query='action movies',results=103
2024-05-22 09:36:15|USR00848|STOP|Laptop|Argentina|status=OK
2023-09-06 10:11:23|USR00830|DOWNLOAD|Smart TV|Mexico|status=OK
2023-03-10 14:31:00|USR00069|STOP|Smart TV|Peru|status=OK
2023-12-08 04:17:28|USR00320|SEARCH|Desktop|Colombia|query='comedy series',results=95
2024-11-26 09:59:27|USR00639|SEARCH|Smart TV|France|query='spanish films',results=33
2023-06-30 22:23:19|USR00449|LOGIN|Smart TV|Germany|ip=192.168.36.199,success=True
2024-11-05 23:16:56|USR00553|STOP|Gaming Console|Korea|status=OK
2023-02-09 15:11:58|USR00745|LOGIN|Laptop|Peru|ip=192.168.64.97,success=True
2024-11-18 03:02:08|USR00888|PAUSE|Desktop|UK|status=OK
2023-12-07 20:42:17|USR00413|BROWSE|Laptop|Spain|status=OK
2024-12-23 22:52:44|USR00592|LOGIN|Laptop|Mexico|ip=192.168.184.170,success=True
2023-03-22 12:42:28|USR00423|SEARCH|Gaming Console|Peru|query='comedy series',results=66
2024-10-30 02:30:34|USR00093|SHARE|Laptop|Germany|status=OK
2024-09-28 05:23:15|USR00201|BROWSE|Tablet|Mexico|status=OK
2023-08-18 11:48:13|USR00587|SHARE|Mobile|Italy|status=OK
2023-12-10 09:34:26|USR00837|PAUSE|Smart TV|Mexico|status=OK
2024-11-19 07:08:28|USR00786|LOGIN|Tablet|Colombia|ip=192.168.75.109,success=True
2024-08-21 10:17:20|USR00325|PAUSE|Laptop|UK|status=OK
2023-05-28 17:53:10|USR00375|DOWNLOAD|Desktop|Colombia|status=OK
2023-05-24 06:38:22|USR00594|DOWNLOAD|Tablet|Germany|status=OK
2024-02-13 22:40:07|USR00129|SHARE|Tablet|Korea|status=OK
2023-11-29 16:01:06|USR00725|BROWSE|Mobile|Spain|status=OK
2024-07-10 18:59:42|USR00539|LOGOUT|Tablet|Italy|session_duration=8min
2023-06-07 12:40:42|USR00322|PLAY|Tablet|Spain|content=CNT00426,quality=HD
2023-12-08 11:34:51|USR00728|LOGOUT|Gaming Console|UK|session_duration=165min
2024-07-31 10:19:45|USR00757|SHARE|Smart TV|Germany|status=OK
2024-08-26 06:24:44|USR00394|STOP|Mobile|Italy|status=OK
2023-06-23 09:04:59|USR00224|SEARCH|Desktop|Chile|query='spanish films',results=138
2023-11-20 06:29:36|USR00496|LOGOUT|Gaming Console|USA|session_duration=40min
2023-04-24 19:43:10|USR01000|LOGOUT|Laptop|Mexico|session_duration=78min
2024-06-15 20:29:06|USR00351|RATE|Gaming Console|Germany|content=CNT00358,rating=2
2023-08-26 01:28:03|USR00104|PLAY|Tablet|Japan|content=CNT00249,quality=Full HD
2024-04-26 10:23:51|USR00210|LOGIN|Desktop|USA|ip=192.168.255.140,success=True
2023-07-25 16:14:23|USR00754|LOGIN|Mobile|Brazil|ip=192.168.232.132,success=True
2023-01-07 15:21:39|USR00770|STOP|Laptop|Mexico|status=OK
2024-03-12 09:59:18|USR00419|BROWSE|Smart TV|Japan|status=OK
2024-08-08 19:55:50|USR00883|SHARE|Mobile|Germany|status=OK
2023-03-09 15:50:43|USR00463|PLAY|Gaming Console|Italy|content=CNT00026,quality=4K
2024-05-16 15:52:30|USR00519|DOWNLOAD|Smart TV|Korea|status=OK
2024-09-26 23:37:54|USR00677|ERROR|Gaming Console|Argentina|type=CONTENT_UNAVAILABLE,severity=MEDIUM
2024-10-01 06:53:11|USR00989|RATE|Desktop|Chile|content=CNT00309,rating=4
2024-02-21 06:38:55|USR00685|SEARCH|Smart TV|Germany|query='top rated',results=53
2023-07-23 13:09:43|USR00096|LOGOUT|Gaming Console|Mexico|session_duration=173min
2023-03-27 06:46:19|USR00398|SEARCH|Desktop|Spain|query='new releases',results=123
2024-04-02 07:10:22|USR00365|SHARE|Smart TV|Italy|status=OK
2024-03-18 23:53:35|USR00526|ERROR|Smart TV|Mexico|type=CONTENT_UNAVAILABLE,severity=HIGH
2023-11-22 16:03:24|USR00767|BROWSE|Laptop|Spain|status=OK
2023-06-03 19:44:57|USR00670|PAUSE|Laptop|USA|status=OK
2023-05-07 13:56:34|USR00517|LOGOUT|Desktop|Spain|session_duration=13min
2024-08-25 22:27:00|USR00490|BROWSE|Gaming Console|UK|status=OK
2024-12-02 14:12:16|USR00743|LOGIN|Mobile|UK|ip=192.168.155.31,success=True
2023-06-13 14:42:44|USR00641|SHARE|Tablet|Brazil|status=OK
